date,Constituent Ticker,Weight,Shares Held,Market Value,price,ret,label,portfolio_ret,portfolio_cum_ret
2017-10-23,PEB,0.0144888865,2715.0,95025.0,35.0,-0.0594,Green,-0.025933333333333333,0.0872541047817823
2017-10-23,XHR,0.0138295473,4203.0,90700.74,21.58,-0.02,Green,-0.025933333333333333,0.0872541047817823
2017-10-23,DRH,0.0127007086,7888.0,83297.28,10.56,-0.0391,Green,-0.025933333333333333,0.0872541047817823
2017-10-23,IRT,0.0051656673,3242.0,33878.9,10.45,0.0077,Green,-0.025933333333333333,0.0872541047817823
2017-10-30,AIV,0.0420868634,6222.0,275012.4,44.2,0.002,Green,-0.0023666666666666662,0.08468093673379884
2017-10-30,RLJ,0.022574042,6922.0,147507.82,21.31,-0.0065,Green,-0.0023666666666666662,0.08468093673379884
2017-10-30,PEB,0.014760633,2737.0,96451.88,35.24,0.0069,Green,-0.0023666666666666662,0.08468093673379884
2017-10-30,XHR,0.0138403832,4236.0,90438.6,21.35,-0.0107,Green,-0.0023666666666666662,0.08468093673379884
2017-10-30,DRH,0.0130528847,7949.0,85292.77,10.73,0.0161,Green,-0.0023666666666666662,0.08468093673379884
2017-10-30,IRT,0.0050705864,3242.0,33133.24,10.22,-0.022,Green,-0.0023666666666666662,0.08468093673379884
2017-11-06,AIV,0.0417227767,6222.0,278372.28,44.74,0.0122,Green,0.020883333333333337,0.10733269029592307
2017-11-06,RLJ,0.0225028935,6922.0,150138.18,21.69,0.0178,Green,0.020883333333333337,0.10733269029592307
2017-11-06,PEB,0.0150060267,2737.0,100119.46,36.58,0.038,Green,0.020883333333333337,0.10733269029592307
2017-11-06,XHR,0.0139931264,4236.0,93361.44,22.04,0.0323,Green,0.020883333333333337,0.10733269029592307
2017-11-06,DRH,0.0131531202,7949.0,87756.96,11.04,0.0289,Green,0.020883333333333337,0.10733269029592307
2017-11-06,IRT,0.0049466138,3242.0,33003.56,10.18,-0.0039,Green,0.020883333333333337,0.10733269029592307
2017-11-13,AIV,0.0418901184,6222.0,282914.34,45.47,0.0163,Green,-0.002466666666666667,0.10460126965985994
2017-11-13,RLJ,0.0214514894,6922.0,144877.46,20.93,-0.035,Green,-0.002466666666666667,0.10460126965985994
2017-11-13,PEB,0.0146622286,2737.0,99024.66,36.18,-0.0109,Green,-0.002466666666666667,0.10460126965985994
2017-11-13,XHR,0.0136041725,4236.0,91878.84,21.69,-0.0159,Green,-0.002466666666666667,0.10460126965985994
2017-11-13,DRH,0.0131115584,7949.0,88551.86,11.14,0.0091,Green,-0.002466666666666667,0.10460126965985994
2017-11-13,IRT,0.0049923265,3242.0,33716.8,10.4,0.0216,Green,-0.002466666666666667,0.10460126965985994
2017-11-20,AIV,0.0412887189,6222.0,275323.5,44.25,-0.0268,Green,-0.0018833333333333334,0.10252093726866729
2017-11-20,RLJ,0.0217991227,6922.0,145362.0,21.0,0.0033,Green,-0.0018833333333333334,0.10252093726866729
2017-11-20,PEB,0.0151662205,2737.0,101132.15,36.95,0.0213,Green,-0.0018833333333333334,0.10252093726866729
2017-11-20,XHR,0.0136832662,4236.0,91243.44,21.54,-0.0069,Green,-0.0018833333333333334,0.10252093726866729
2017-11-20,DRH,0.0133392284,7949.0,88949.31,11.19,0.0045,Green,-0.0018833333333333334,0.10252093726866729
2017-11-20,IRT,0.0050222862,3242.0,33489.86,10.33,-0.0067,Green,-0.0018833333333333334,0.10252093726866729
2017-11-27,AIV,0.0412117523,6222.0,276256.8,44.4,0.0034,Green,0.01035,0.11393202896939814
2017-11-27,RLJ,0.0219844376,6922.0,147369.38,21.29,0.0138,Green,0.01035,0.11393202896939814
2017-11-27,PEB,0.0154216161,2737.0,103376.49,37.77,0.0222,Green,0.01035,0.11393202896939814
2017-11-27,XHR,0.0137948757,4236.0,92471.88,21.83,0.0135,Green,0.01035,0.11393202896939814
2017-11-27,DRH,0.013186374,7949.0,88392.88,11.12,-0.0063,Green,0.01035,0.11393202896939814
2017-11-27,IRT,0.0050733708,3242.0,34008.58,10.49,0.0155,Green,0.01035,0.11393202896939814
2017-12-04,AIV,0.0409057616,6222.0,273394.68,43.94,-0.0104,Green,-0.003683333333333333,0.10982904599602739
2017-12-04,RLJ,0.0221842875,6922.0,148269.24,21.42,0.0061,Green,-0.003683333333333333,0.10982904599602739
2017-12-04,PEB,0.0156188808,2737.0,104389.18,38.14,0.0098,Green,-0.003683333333333333,0.10982904599602739
2017-12-04,XHR,0.0137153732,4236.0,91667.04,21.64,-0.0087,Green,-0.003683333333333333,0.10982904599602739
2017-12-04,DRH,0.013391996,7949.0,89505.74,11.26,0.0126,Green,-0.003683333333333333,0.10982904599602739
2017-12-04,IRT,0.0049283454,3242.0,32938.72,10.16,-0.0315,Green,-0.003683333333333333,0.10982904599602739
2017-12-11,AIV,0.0408527464,6194.0,274146.44,44.26,0.0073,Green,-0.0032666666666666664,0.1062036044457737
2017-12-11,RLJ,0.0220085983,6895.0,147690.9,21.42,0.0,Green,-0.0032666666666666664,0.1062036044457737
2017-12-11,PEB,0.0152444193,2720.0,102299.2,37.61,-0.0139,Green,-0.0032666666666666664,0.1062036044457737
2017-12-11,XHR,0.0134632671,4210.0,90346.6,21.46,-0.0083,Green,-0.0032666666666666664,0.1062036044457737
2017-12-11,DRH,0.0132237743,7902.0,88739.46,11.23,-0.0027,Green,-0.0032666666666666664,0.1062036044457737
2017-12-11,IRT,0.0048987989,3242.0,32873.88,10.14,-0.002,Green,-0.0032666666666666664,0.1062036044457737
