date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value,price,ret
2020-09-21,VNQ,GLPI,0.0058,9158699.0,332918709.0,36.35,0.0039
2020-09-21,VNQ,OHI,0.00538,9977723.0,309010081.0,30.97,-0.0435
2020-09-21,VNQ,REG,0.00516,7459365.0,296211384.0,39.71,-0.0322
2020-09-21,VNQ,CUBE,0.00469,8512974.0,269180238.0,31.62,0.0657
2020-09-21,VNQ,NNN,0.00467,7561857.0,267992212.0,35.44,-0.0003
2020-09-21,VNQ,KRC,0.00464,4554927.0,266554328.0,58.52,0.0043
2020-09-21,VNQ,REXR,0.00451,5396272.0,258913131.0,47.98,0.0224
2020-09-21,VNQ,VNO,0.00446,7143225.0,255941752.0,35.83,0.0379
2020-09-21,VNQ,FR,0.00416,5594472.0,238604231.0,42.65,-0.0289
2020-09-21,VNQ,EGP,0.00398,1717552.0,228709224.0,133.16,0.0038
2020-09-21,VNQ,KIM,0.00397,19019000.0,228037810.0,11.99,0.0753
2020-09-21,VNQ,STAG,0.00368,6540148.0,211246780.0,32.3,-0.0092
2020-09-21,VNQ,DEI,0.00356,7326235.0,204548481.0,27.92,-0.0419
2020-09-21,VNQ,CUZ,0.0034,6532090.0,194982887.0,29.85,-0.0283
2020-09-21,VNQ,TRNO,0.00309,2977207.0,177560625.0,59.64,-0.0184
2020-09-21,VNQ,HR,0.00298,5933835.0,171191140.0,28.85,-0.0154
2020-09-21,VNQ,HIW,0.00297,4568080.0,170206661.0,37.26,-0.0282
2020-09-21,VNQ,EQC,0.00292,5343951.0,167746622.0,31.39,-0.0057
2020-09-21,VNQ,ADC,0.00276,2368907.0,158527256.0,66.92,-0.0007
2020-09-21,VNQ,BRX,0.00268,13034689.0,153809330.0,11.8,0.0252
2020-09-21,VNQ,LXP,0.00239,12050681.0,137016243.0,11.37,-0.0198
2020-09-21,VNQ,SBRA,0.00234,9038528.0,134041370.0,14.83,0.0061
2020-09-21,VNQ,NHI,0.00213,1963090.0,122202353.0,62.25,0.004
2020-09-21,VNQ,EPR,0.00192,3406507.0,110064241.0,32.31,0.1285
2020-09-21,VNQ,NSA,0.00179,2997195.0,102833760.0,34.31,0.1132
2020-09-21,VNQ,PK,0.00171,10359130.0,98308144.0,9.49,0.1475
2020-09-21,VNQ,APLE,0.00165,9323713.0,94822161.0,10.17,0.1531
2020-09-21,VNQ,RHP,0.00153,2294473.0,87557090.0,38.16,0.1918
2020-09-21,VNQ,SHO,0.00138,9481399.0,78980054.0,8.33,0.1136
2020-09-21,VNQ,FCPT,0.00136,3096512.0,78186928.0,25.25,0.002
2020-09-28,VNQ,PLD,0.05763,32479603.0,3308372362.0,101.86,0.0
2020-09-28,VNQ,EQIX,0.05356,3892692.0,3074370288.0,789.78,0.0
2020-09-28,VNQ,DLR,0.03028,11165600.0,1737925640.0,155.65,0.0
2020-09-28,VNQ,PSA,0.02486,6717992.0,1426901501.0,212.4,0.0
2020-09-28,VNQ,WELL,0.0184,18359075.0,1056013994.0,57.52,0.0
2020-09-28,VNQ,AVB,0.01704,6188736.0,978191612.0,158.06,0.0
2020-09-28,VNQ,O,0.01632,15102446.0,936804725.0,62.03,0.0
2020-09-28,VNQ,ARE,0.01628,5549902.0,934492499.0,168.38,0.0
2020-09-28,VNQ,EQR,0.01609,16364444.0,923772864.0,56.45,0.0
2020-09-28,VNQ,SPG,0.01589,13445044.0,912246235.0,67.85,0.0
2020-09-28,VNQ,VTR,0.01178,16405831.0,676084296.0,41.21,0.0
2020-09-28,VNQ,SUI,0.01122,4321825.0,644297671.0,149.08,0.0
2020-09-28,VNQ,ESS,0.01085,2876735.0,622841895.0,216.51,0.0
2020-09-28,VNQ,MAA,0.01026,5028669.0,588957713.0,117.12,0.0
2020-09-28,VNQ,EXR,0.01007,5426634.0,578207853.0,106.55,0.0
2020-09-28,VNQ,BXP,0.00982,6490772.0,563853364.0,86.87,0.0
2020-09-28,VNQ,WPC,0.00916,7581207.0,525908330.0,69.37,0.0
2020-09-28,VNQ,ELS,0.00879,7609723.0,504448538.0,66.29,0.0
2020-09-28,VNQ,UDR,0.00786,12967624.0,451402991.0,34.81,0.0
2020-09-28,VNQ,MPW,0.00752,23233511.0,431678634.0,18.58,0.0
2020-09-28,VNQ,CPT,0.00678,4282437.0,389444821.0,90.94,0.0
2020-09-28,VNQ,IRM,0.00664,12659479.0,380923723.0,30.09,0.0
2020-09-28,VNQ,HST,0.00606,31001297.0,348144565.0,11.23,0.0
2020-09-28,VNQ,AMH,0.00593,11886824.0,340438639.0,28.64,0.0
2020-09-28,VNQ,GLPI,0.0058,9158699.0,332918709.0,36.35,0.0
2020-09-28,VNQ,OHI,0.00538,9977723.0,309010081.0,30.97,0.0
2020-09-28,VNQ,REG,0.00516,7459365.0,296211384.0,39.71,0.0
2020-09-28,VNQ,CUBE,0.00469,8512974.0,269180238.0,31.62,0.0
2020-09-28,VNQ,NNN,0.00467,7561857.0,267992212.0,35.44,0.0
2020-09-28,VNQ,KRC,0.00464,4554927.0,266554328.0,58.52,0.0
2020-09-28,VNQ,REXR,0.00451,5396272.0,258913131.0,47.98,0.0
2020-09-28,VNQ,VNO,0.00446,7143225.0,255941752.0,35.83,0.0
2020-09-28,VNQ,FR,0.00416,5594472.0,238604231.0,42.65,0.0
2020-09-28,VNQ,EGP,0.00398,1717552.0,228709224.0,133.16,0.0
2020-09-28,VNQ,KIM,0.00397,19019000.0,228037810.0,11.99,0.0
2020-09-28,VNQ,STAG,0.00368,6540148.0,211246780.0,32.3,0.0
2020-09-28,VNQ,DEI,0.00356,7326235.0,204548481.0,27.92,0.0
2020-09-28,VNQ,CUZ,0.0034,6532090.0,194982887.0,29.85,0.0
2020-09-28,VNQ,TRNO,0.00309,2977207.0,177560625.0,59.64,0.0
2020-09-28,VNQ,HR,0.00298,5933835.0,171191140.0,28.85,0.0
2020-09-28,VNQ,HIW,0.00297,4568080.0,170206661.0,37.26,0.0
2020-09-28,VNQ,EQC,0.00292,5343951.0,167746622.0,31.39,0.0
2020-09-28,VNQ,ADC,0.00276,2368907.0,158527256.0,66.92,0.0
2020-09-28,VNQ,BRX,0.00268,13034689.0,153809330.0,11.8,0.0
2020-09-28,VNQ,LXP,0.00239,12050681.0,137016243.0,11.37,0.0
2020-09-28,VNQ,SBRA,0.00234,9038528.0,134041370.0,14.83,0.0
2020-09-28,VNQ,NHI,0.00213,1963090.0,122202353.0,62.25,0.0
2020-09-28,VNQ,EPR,0.00192,3406507.0,110064241.0,32.31,0.0
2020-09-28,VNQ,NSA,0.00179,2997195.0,102833760.0,34.31,0.0
2020-09-28,VNQ,PK,0.00171,10359130.0,98308144.0,9.49,0.0
2020-09-28,VNQ,APLE,0.00165,9323713.0,94822161.0,10.17,0.0
2020-09-28,VNQ,RHP,0.00153,2294473.0,87557090.0,38.16,0.0
2020-09-28,VNQ,SHO,0.00138,9481399.0,78980054.0,8.33,0.0
2020-09-28,VNQ,FCPT,0.00136,3096512.0,78186928.0,25.25,0.0
2020-10-05,VNQ,PLD,0.05763,32479603.0,3308372362.0,101.86,0.0
2020-10-05,VNQ,EQIX,0.05356,3892692.0,3074370288.0,789.78,0.0
2020-10-05,VNQ,DLR,0.03028,11165600.0,1737925640.0,155.65,0.0
2020-10-05,VNQ,PSA,0.02486,6717992.0,1426901501.0,212.4,0.0
2020-10-05,VNQ,WELL,0.0184,18359075.0,1056013994.0,57.52,0.0
2020-10-05,VNQ,AVB,0.01704,6188736.0,978191612.0,158.06,0.0
2020-10-05,VNQ,O,0.01632,15102446.0,936804725.0,62.03,0.0
2020-10-05,VNQ,ARE,0.01628,5549902.0,934492499.0,168.38,0.0
2020-10-05,VNQ,EQR,0.01609,16364444.0,923772864.0,56.45,0.0
2020-10-05,VNQ,SPG,0.01589,13445044.0,912246235.0,67.85,0.0
2020-10-05,VNQ,VTR,0.01178,16405831.0,676084296.0,41.21,0.0
2020-10-05,VNQ,SUI,0.01122,4321825.0,644297671.0,149.08,0.0
2020-10-05,VNQ,ESS,0.01085,2876735.0,622841895.0,216.51,0.0
2020-10-05,VNQ,MAA,0.01026,5028669.0,588957713.0,117.12,0.0
2020-10-05,VNQ,EXR,0.01007,5426634.0,578207853.0,106.55,0.0
2020-10-05,VNQ,BXP,0.00982,6490772.0,563853364.0,86.87,0.0
2020-10-05,VNQ,WPC,0.00916,7581207.0,525908330.0,69.37,0.0
2020-10-05,VNQ,ELS,0.00879,7609723.0,504448538.0,66.29,0.0
2020-10-05,VNQ,UDR,0.00786,12967624.0,451402991.0,34.81,0.0
2020-10-05,VNQ,MPW,0.00752,23233511.0,431678634.0,18.58,0.0
2020-10-05,VNQ,CPT,0.00678,4282437.0,389444821.0,90.94,0.0
2020-10-05,VNQ,IRM,0.00664,12659479.0,380923723.0,30.09,0.0
2020-10-05,VNQ,HST,0.00606,31001297.0,348144565.0,11.23,0.0
2020-10-05,VNQ,AMH,0.00593,11886824.0,340438639.0,28.64,0.0
2020-10-05,VNQ,GLPI,0.0058,9158699.0,332918709.0,36.35,0.0
2020-10-05,VNQ,OHI,0.00538,9977723.0,309010081.0,30.97,0.0
2020-10-05,VNQ,REG,0.00516,7459365.0,296211384.0,39.71,0.0
2020-10-05,VNQ,CUBE,0.00469,8512974.0,269180238.0,31.62,0.0
2020-10-05,VNQ,NNN,0.00467,7561857.0,267992212.0,35.44,0.0
2020-10-05,VNQ,KRC,0.00464,4554927.0,266554328.0,58.52,0.0
2020-10-05,VNQ,REXR,0.00451,5396272.0,258913131.0,47.98,0.0
2020-10-05,VNQ,VNO,0.00446,7143225.0,255941752.0,35.83,0.0
2020-10-05,VNQ,FR,0.00416,5594472.0,238604231.0,42.65,0.0
2020-10-05,VNQ,EGP,0.00398,1717552.0,228709224.0,133.16,0.0
2020-10-05,VNQ,KIM,0.00397,19019000.0,228037810.0,11.99,0.0
2020-10-05,VNQ,STAG,0.00368,6540148.0,211246780.0,32.3,0.0
2020-10-05,VNQ,DEI,0.00356,7326235.0,204548481.0,27.92,0.0
2020-10-05,VNQ,CUZ,0.0034,6532090.0,194982887.0,29.85,0.0
2020-10-05,VNQ,TRNO,0.00309,2977207.0,177560625.0,59.64,0.0
2020-10-05,VNQ,HR,0.00298,5933835.0,171191140.0,28.85,0.0
2020-10-05,VNQ,HIW,0.00297,4568080.0,170206661.0,37.26,0.0
