date,label,NAV,cum_fundflow
2021-02-22,Traditional,34315739284.31,89507131.7
2021-02-22,Green,26853930.0,0.0
2021-02-22,Traditional,34622535151.36,125814442.88
2021-02-22,Green,26362260.0,0.0
2021-02-22,Traditional,34026058800.000004,189630651.51999998
2021-02-22,Green,26016660.0,0.0
2021-02-22,Traditional,33667803511.36,341261250.71999997
2021-03-01,Green,30364320.0,4336110.0
2021-03-01,Traditional,33845079857.44,35279752.96
2021-03-01,Green,30216060.0,4336110.0
2021-03-01,Traditional,33682768450.88,185202752.96
2021-03-01,Green,30384585.0,4336110.0
2021-03-01,Traditional,33517082348.48,220171529.92000002
2021-03-01,Green,29826825.0,4336110.0
2021-03-01,Traditional,33167869915.4,237732189.84000003
2021-03-01,Green,30110535.0,4336110.0
2021-03-01,Traditional,33637068293.4,323723460.70000005
2021-03-08,Green,30679530.0,0.0
2021-03-08,Traditional,34034677342.87,121788698.9
2021-03-08,Green,29227800.0,-1460930.0
2021-03-08,Traditional,34283170555.020004,148673754.82
2021-03-08,Green,29560500.0,-1460930.0
2021-03-08,Traditional,34628378112.87,140173555.54
2021-03-08,Green,29775300.0,-1460930.0
2021-03-08,Traditional,35008086973.86,131292262.52999999
2021-03-08,Green,30494300.0,-1460930.0
2021-03-08,Traditional,35586857685.6,104329226.42999998
2021-03-15,Green,31187800.0,0.0
2021-03-15,Traditional,36062352244.35,-36523349.85
2021-03-15,Green,30937400.0,0.0
2021-03-15,Traditional,35829286890.8,-110880755.85
2021-03-15,Green,31072600.0,0.0
2021-03-15,Traditional,35975418717.0,304630.15000000596
2021-03-15,Green,30855300.0,0.0
2021-03-15,Traditional,35684961063.44,55963098.50000001
2021-03-15,Green,30027300.0,0.0
2021-03-15,Traditional,35195235062.5,56248105.06000001
2021-03-22,Green,30117900.0,0.0
2021-03-22,Traditional,35446831990.6,18138100.5
2021-03-22,Green,29984000.0,0.0
2021-03-22,Traditional,35446938084.48,72801926.7
2021-03-22,Green,29986300.0,0.0
2021-03-22,Traditional,35246328715.15,55260017.82000001
2021-03-22,Green,30288400.0,0.0
2021-03-22,Traditional,35428075547.4,100505017.82000001
2021-03-22,Green,30738200.0,0.0
2021-03-22,Traditional,36205666860.35,109589017.82000001
2021-03-29,Green,30319900.0,0.0
2021-03-29,Traditional,36014515295.2,0.0
2021-03-29,Green,30498900.0,0.0
2021-03-29,Traditional,36133758759.96,111417222.88
2021-03-29,Green,30098600.0,0.0
2021-03-29,Traditional,35982902734.590004,176168524.06
2021-03-29,Green,30633100.0,0.0
2021-03-29,Traditional,36660098021.76,167505659.23
2021-04-05,Green,30597600.0,0.0
2021-04-05,Traditional,36920944926.810005,131051317.26
2021-04-05,Green,30693600.0,0.0
2021-04-05,Traditional,36995064000.23,102984938.22
2021-04-05,Green,30855400.0,0.0
2021-04-05,Traditional,36975600677.4,75667000.27
2021-04-05,Green,30713200.0,0.0
2021-04-05,Traditional,36822630374.86,48277447.169999994
2021-04-05,Green,30670800.0,0.0
2021-04-05,Traditional,36771122895.58,20298467.129999995
2021-04-12,Green,30786600.0,0.0
2021-04-12,Traditional,36742779469.5,-215468456.8
2021-04-12,Green,31003300.0,0.0
2021-04-12,Traditional,36953308115.29,-215455544.55
2021-04-12,Green,30853200.0,0.0
2021-04-12,Traditional,36723783901.200005,-214968797.9
2021-04-12,Green,31258400.0,0.0
2021-04-12,Traditional,37344694388.98,-252234694.7
2021-04-12,Green,31375800.0,0.0
2021-04-12,Traditional,37270844631.67,-395916366.59
2021-04-19,Green,31555300.0,0.0
2021-04-19,Traditional,37354643948.65,-9286702.62
2021-04-19,Green,33342540.0,1577765.0
2021-04-19,Traditional,37665804087.99,-8420490.479999999
2021-04-19,Green,33665520.0,1577765.0
2021-04-19,Traditional,37883202930.62,-8228504.009999999
2021-04-19,Green,33499935.0,1577765.0
2021-04-19,Traditional,37738014758.2,21260413.07
2021-04-19,Green,33694290.0,1577765.0
2021-04-19,Traditional,37865648874.25,-56412825.38999999
2021-04-26,Green,33722115.0,0.0
2021-04-26,Traditional,37989465291.8,-19437783.0
2021-04-26,Green,33832470.0,0.0
2021-04-26,Traditional,37938773580.69,-58526239.88
2021-04-26,Green,33709095.0,0.0
2021-04-26,Traditional,37844043735.5,-68187222.07000001
2021-04-26,Green,34032600.0,0.0
2021-04-26,Traditional,38203018630.92,-18956067.45000001
2021-04-26,Green,34131825.0,0.0
2021-04-26,Traditional,38379692281.5,-8813876.82000001
2021-05-03,Green,33977790.0,0.0
2021-05-03,Traditional,38333080032.0,69783742.5
2021-05-03,Green,33691875.0,0.0
2021-05-03,Traditional,38112767827.66,90151066.1
2021-05-03,Green,34883090.0,1604375.0
2021-05-03,Traditional,37741165207.2,335847007.0
2021-05-03,Green,35176350.0,1604375.0
2021-05-03,Traditional,38078669303.34,461672274.4
2021-05-03,Green,35660900.0,1604375.0
2021-05-03,Traditional,38678854400.62,558820045.6
2021-05-10,Green,35575650.00000001,0.0
2021-05-10,Traditional,38913693756.79,246704493.0
2021-05-10,Green,35225079.99999999,0.0
2021-05-10,Traditional,38474369760.16,286429553.89
2021-05-10,Green,34325390.0,0.0
2021-05-10,Traditional,37505283381.3,267044379.02999997
2021-05-10,Green,35011460.0,0.0
2021-05-10,Traditional,37967517755.98,238967130.95
2021-05-10,Green,35420000.0,0.0
2021-05-10,Traditional,38469002399.76,296913760.65
2021-05-17,Green,35482040.0,0.0
2021-05-17,Traditional,38467330794.76,-9589952.22
2021-05-17,Green,35417360.0,0.0
2021-05-17,Traditional,38478244544.52,-38238452.660000004
2021-05-17,Green,36720075.0,1609880.0
2021-05-17,Traditional,38367274019.2,1281981.2199999988
2021-05-17,Green,37036785.0,1609880.0
2021-05-17,Traditional,38813243270.97,-8070910.860000001
2021-05-17,Green,36917990.0,1609880.0
2021-05-17,Traditional,38765758711.98,-8043560.490000001
2021-05-24,Green,39011520.0,1605130.0
2021-05-24,Traditional,39223506559.84,10226014.13
2021-05-24,Green,39035880.0,1605130.0
2021-05-24,Traditional,39286923943.4,49857167.25
