ETFG Date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value
2021-11-15,NURE,NSA,0.0221622222,35401.0,2193091.95
2021-11-15,NURE,PK,0.0205530388,102668.0,2033853.08
2021-11-15,NURE,APLE,0.0148975629,92138.0,1474208.0
2021-11-15,NURE,PEB,0.014119038,57004.0,1397168.04
2021-11-15,NURE,SHO,0.0119708135,94995.0,1184587.65
2021-11-15,NURE,IRT,0.0117930982,45586.0,1167001.6
2021-11-15,NURE,RLJ,0.0104503326,72266.0,1034126.46
2021-11-15,NURE,WRE,0.0096103493,36690.0,951004.8
2021-11-15,NURE,DRH,0.0093780205,91340.0,928014.4
2021-11-15,NURE,XHR,0.0091008099,49537.0,900582.66
2021-11-15,NURE,NXRT,0.0079107511,9827.0,782818.82
2021-11-15,NURE,CSR,0.0064235218,6088.0,635648.08
2021-11-15,NURE,AIV,0.0053681907,65260.0,531216.4
2021-11-15,NURE,INN,0.0046648865,46162.0,461620.0
2021-11-15,NURE,CLDT,0.002797683,21247.0,276848.41
2021-11-15,NURE,HT,0.0016208687,14321.0,160395.2
2021-11-15,VNQ,AMT,0.07069,21166232.0,5968242437.000001
2021-11-15,VNQ,PLD,0.05912,34436670.0,4991939683.000001
2021-11-15,VNQ,CCI,0.04243,19868592.0,3582307138.0
2021-11-15,VNQ,EQIX,0.04109,4144983.0,3469640920.0
2021-11-15,VNQ,PSA,0.02884,7330762.0,2435132521.0
2021-11-15,VNQ,SPG,0.02586,14893221.0,2183048334.0
2021-11-15,VNQ,DLR,0.02403,12858043.0,2029127766.0
2021-11-15,VNQ,SBAC,0.02082,5090013.0,1757734189.0
2021-11-15,VNQ,CBRE,0.01926,15625107.0,1626261137.0
2021-11-15,VNQ,WELL,0.01851,19435737.0,1562633255.0
2021-11-15,VNQ,AVB,0.01822,6498624.0,1538094328.0
2021-11-15,VNQ,EQR,0.01662,16239546.0,1403096774.0
2021-11-15,VNQ,ARE,0.01577,6522997.0,1331604608.0
2021-11-15,VNQ,O,0.01525,18022738.0,1287364175.0
2021-11-15,VNQ,WY,0.01475,34876127.0,1245775256.0
2021-11-15,VNQ,EXR,0.01455,6225112.0,1228650355.0
2021-11-15,VNQ,INVH,0.01291,26424057.0,1089992351.0
2021-11-15,VNQ,MAA,0.01289,5329419.0,1088320654.0
2021-11-15,VNQ,ESS,0.01218,3025725.0,1028534699.0
2021-11-15,VNQ,SUI,0.01208,5205639.0,1020201131.0
2021-11-15,VNQ,DRE,0.01163,17455559.0,981700638.0
2021-11-15,VNQ,VTR,0.01158,18316386.0,977545521.0
2021-11-15,VNQ,PEAK,0.01055,25087409.0,890853894.0
2021-11-15,VNQ,VICI,0.00993,28579152.0,838798111.0
2021-11-15,VNQ,BXP,0.00929,6902054.0,784349417.0
2021-11-15,VNQ,Z,0.00924,7526544.0,779975755.0
2021-11-15,VNQ,UDR,0.00909,13817625.0,767292716.0
2021-11-15,VNQ,CPT,0.00878,4547183.0,741645547.0
2021-11-15,VNQ,ELS,0.00807,8062457.0,681358241.0
2021-11-15,VNQ,WPC,0.00757,8284331.0,638804763.0
2021-11-15,VNQ,JLL,0.0073,2388399.0,616756274.0
2021-11-15,VNQ,KIM,0.00727,27161092.0,613840679.0
2021-11-15,VNQ,IRM,0.00727,13440615.0,613429669.0
2021-11-15,VNQ,MPW,0.00692,27380894.0,584034469.0
2021-11-15,VNQ,HST,0.00655,32868507.0,553176973.0
